Molecule,SMILES,Process_Type,Process_Param,Time_min,Temp_K,Alpha,Rate_1_min
C14,OC(=O)CCCCCCCCCCCCC(=O)O,Dyn,10.0,4.4712045557066125,481.4426774190496,0.4646779555327093,0.1668159708436138
C10,OC(=O)CCCCCCCCC(=O)O,Iso,165.0,11.645000000000008,438.18,0.4879385883656801,0.0255370747630049
C14,OC(=O)CCCCCCCCCCCCC(=O)O,Dyn,10.0,0.6953637928994709,443.5206387096299,0.0370169096317251,0.0519595153656695
C10,OC(=O)CCCCCCCCC(=O)O,Iso,165.0,43.840000000000025,438.17,0.8832434604398708,0.0051687183563624
C10,OC(=O)CCCCCCCCC(=O)O,Dyn,2.5,26.81,502.13,0.9265964587027194,0.0117721470664062
C10,OC(=O)CCCCCCCCC(=O)O,Dyn,10.0,3.0900000000000003,469.32,0.2211873305613188,0.1144370905671744
C6,OC(=O)CCCCC(=O)O,Dyn,2.5,39.46,533.0400000000006,0.922841524337616,0.0086949083888903
C14,OC(=O)CCCCCCCCCCCCC(=O)O,Dyn,5.0,4.105091644307068,456.0526258063996,0.2529008805012648,0.0893602592625359
C6,OC(=O)CCCCC(=O)O,Iso,170.0,2.620000000000001,443.26,0.2638352053112637,0.0852673595478511
C6,OC(=O)CCCCC(=O)O,Dyn,10.0,7.209999999999999,510.41,0.8897662665824383,0.0252684775742263
C10,OC(=O)CCCCCCCCC(=O)O,Dyn,10.0,10.29,541.3199999999999,0.9255384736653932,0.0415239135514346
C6,OC(=O)CCCCC(=O)O,Dyn,5.0,21.01,540.67,0.9399924482267856,0.0101658485579013
C10,OC(=O)CCCCCCCCC(=O)O,Dyn,2.5,9.989999999999998,460.13,0.4447565932011814,0.045938701757531
C10,OC(=O)CCCCCCCCC(=O)O,Dyn,2.5,17.2,478.13,0.7315277774741311,0.030470941379921
C10,OC(=O)CCCCCCCCC(=O)O,Dyn,5.0,21.19,541.5,0.9785481571526252,0.01053438711255
C6,OC(=O)CCCCC(=O)O,Iso,165.0,8.757473999999995,438.19,0.6671623492560689,0.0444669486541428
C14,OC(=O)CCCCCCCCCCCCC(=O)O,Dyn,10.0,7.474017929322474,511.3811290317493,0.9125716636412636,0.058709798746529
C10,OC(=O)CCCCCCCCC(=O)O,Dyn,2.5,22.8,492.13,0.8676768626353565,0.0177633290555596
C10,OC(=O)CCCCCCCCC(=O)O,Dyn,2.5,2.79,442.13,0.1128774844065298,0.0422630590529577
C6,OC(=O)CCCCC(=O)O,Dyn,5.0,9.6,483.67,0.7647332190885591,0.0379040924801761
C14,OC(=O)CCCCCCCCCCCCC(=O)O,Iso,160.0,16.705558515969997,433.15,0.5866675170875713,0.0272503271566117
